id,text,lemma,upos,pos,feats,head,deprel,deps,misc
1,Naa,naa,NOUN,N09,_,_,_,_,start_char=0|end_char=3
2,mavhili,vhili,ADJ,ADJ06,_,_,_,_,start_char=4|end_char=11
3,a,a,PART,SC06,_,_,_,_,start_char=12|end_char=13
4,zwikhafula,zwikhafula,NOUN,N08,_,_,_,_,start_char=14|end_char=24
5,zwa,zwa,PART,POSSC08,_,_,_,_,start_char=25|end_char=28
6,thawara,thawara,NOUN,N09,_,_,_,_,start_char=29|end_char=36
7,a,a,PRON,SC06,_,_,_,_,start_char=37|end_char=38
8,vha,vha,PRON,SC02,_,_,_,_,start_char=39|end_char=42
9,o,o,PRON,SC01,_,_,_,_,start_char=43|end_char=44
10,khielwa,khia,VERB,V,_,_,_,_,start_char=45|end_char=52
11,musi,musi,CCONJ,CONJ,_,_,_,_,start_char=53|end_char=57
12,tshi,tshi,PRON,SC07,_,_,_,_,start_char=58|end_char=62
13,tshi,tshi,PRON,SC07,_,_,_,_,start_char=63|end_char=67
14,khou,khou,AUX,VAUX,_,_,_,_,start_char=68|end_char=72
15,shumiswa,shumisa,VERB,V,_,_,_,_,start_char=73|end_char=81
16,nahone,nahone,CCONJ,CONJ,_,_,_,_,start_char=82|end_char=88
17,fhethu,fhethu,NOUN,N16,_,_,_,_,start_char=89|end_char=95
18,hune,hune,PRON,PROREL16,_,_,_,_,start_char=96|end_char=100
19,ha,ha,PART,POSSC17,_,_,_,_,start_char=101|end_char=103
20,khou,khou,AUX,VAUX,_,_,_,_,start_char=104|end_char=108
21,shumelwa,shuma,VERB,V,_,_,_,_,start_char=109|end_char=117
22,hone,hone,ADV,ADV,_,_,_,_,start_char=118|end_char=122
23,hu,hu,PART,SC17,_,_,_,_,start_char=123|end_char=125
24,vha,vha,PRON,SC02,_,_,_,_,start_char=126|end_char=129
25,hu,hu,PRON,CP15,_,_,_,_,start_char=130|end_char=132
26,si,si,PART,MORPHNEG,_,_,_,_,start_char=133|end_char=135
27,na,na,VERB,V,_,_,_,_,start_char=136|end_char=138
28,tshithu,tshithu,NOUN,N07,_,_,_,_,start_char=139|end_char=146
29,musi,musi,CCONJ,CONJ,_,_,_,_,start_char=147|end_char=151
30,zwi,zwi,PRON,RELC08,_,_,_,_,start_char=152|end_char=155
31,tshi,tshi,PRON,SC07,_,_,_,_,start_char=156|end_char=160
32,bvisiwa,bvisiwa,VERB,V,_,_,_,_,start_char=161|SpaceAfter=No|end_char=168
33,?,?,PUNCT,ZE,_,_,_,_,start_char=168|end_char=169
1,Naa,naa,NOUN,N09,_,_,_,_,start_char=0|end_char=3
2,dzi,dzi,PRON,SC10,_,_,_,_,start_char=4|end_char=7
3,kha,kha,ADP,PREPOS,_,_,_,_,start_char=8|end_char=11
4,nyimele,nyimele,NOUN,N09,_,_,_,_,start_char=12|end_char=19
5,yavhuḓi,yavhuḓi,ADJ,ADJ09,_,_,_,_,start_char=20|SpaceAfter=No|end_char=27
6,.,.,PUNCT,ZE,_,_,_,_,start_char=27|end_char=28
