id,text,lemma,upos,pos,feats,head,deprel,deps,misc
31,lekalekanang,lekalekana,VERB,V,_,_,_,_,start_char=148|end_char=160
32,ya,ya,PART,POSSC09,_,_,_,_,start_char=161|end_char=163
33,maungo,ungo,NOUN,N06,_,_,_,_,start_char=164|end_char=170
34,a,a,PART,POSSC06,_,_,_,_,start_char=171|end_char=172
35,kgolo,kgolo,NOUN,N09,_,_,_,_,start_char=173|SpaceAfter=No|end_char=178
36,.,.,PUNCT,ZE,_,_,_,_,start_char=178|end_char=179
1,Le,le,PART,PART,_,_,_,_,start_char=180|end_char=182
2,fa,fa,CCONJ,CONJ,_,_,_,_,start_char=183|end_char=185
3,go,go,PRON,SC15,_,_,_,_,start_char=186|end_char=188
4,gontsi,ntsi,ADJ,ADJLOC,_,_,_,_,start_char=189|end_char=195
5,go,go,PRON,SC15,_,_,_,_,start_char=196|end_char=198
6,tokafetse,tokafala,VERB,V,_,_,_,_,start_char=199|end_char=208
7,fao,fao,PRON,DEMLOC,_,_,_,_,start_char=209|end_char=212
8,puso,puso,NOUN,N09,_,_,_,_,start_char=213|end_char=217
9,e,e,PRON,SC09,_,_,_,_,start_char=218|end_char=219
10,nang,na,VERB,VCOP,_,_,_,_,start_char=220|end_char=224
11,le,le,PART,PART,_,_,_,_,start_char=225|end_char=227
12,taolo,taolo,NOUN,N09,_,_,_,_,start_char=228|end_char=233
13,-,-,NUM,NUM,_,_,_,_,start_char=234|end_char=235
14,jaaka,jaaka,ADV,ADV,_,_,_,_,start_char=236|end_char=241
15,ditirelo,tirelo,NOUN,N10,_,_,_,_,start_char=242|end_char=250
16,tsa,tsa,PART,POSSC10,_,_,_,_,start_char=251|end_char=254
17,loago,ago,NOUN,N11,_,_,_,_,start_char=255|end_char=260
18,-,-,NUM,NUM,_,_,_,_,start_char=261|end_char=262
19,dilo,lo,NOUN,N08,_,_,_,_,start_char=263|end_char=267
20,di,di,PRON,SC10,_,_,_,_,start_char=268|end_char=270
21,tsamaile,tsamaya,VERB,V,_,_,_,_,start_char=271|end_char=279
22,ka,ka,PART,PART,_,_,_,_,start_char=280|end_char=282
23,bonya,nya,ADJ,V,_,_,_,_,start_char=283|end_char=288
24,fao,fao,PRON,DEMLOC,_,_,_,_,start_char=289|end_char=292
25,puso,puso,NOUN,N09,_,_,_,_,start_char=293|end_char=297
26,e,e,PRON,SC09,_,_,_,_,start_char=298|end_char=299
27,neng,ne,AUX,VAUX,_,_,_,_,start_char=300|end_char=304
28,e,e,PRON,SC09,_,_,_,_,start_char=305|end_char=306
29,ikaegile,kaya,VERB,V,_,_,_,_,start_char=307|end_char=315
30,ka,ka,PART,PART,_,_,_,_,start_char=316|end_char=318
31,dikgato,kgato,NOUN,N10,_,_,_,_,start_char=319|end_char=326
32,tsa,tsa,PART,POSSC10,_,_,_,_,start_char=327|end_char=330
33,ba,ba,PRON,DEM02,_,_,_,_,start_char=331|end_char=333
34,bangwe,ngwe,ADJ,ADJ02,_,_,_,_,start_char=334|SpaceAfter=No|end_char=340
35,",",",",PUNCT,ZM,_,_,_,_,start_char=340|end_char=341
36,jaaka,jaaka,ADV,ADV,_,_,_,_,start_char=342|end_char=347
37,go,go,PRON,SC15,_,_,_,_,start_char=348|end_char=350
38,tlhola,tlhola,VERB,V,_,_,_,_,start_char=351|end_char=357
39,ditiro,tiro,NOUN,N10,_,_,_,_,start_char=358|SpaceAfter=No|end_char=364
40,.,.,PUNCT,ZE,_,_,_,_,start_char=364|end_char=365
1,Puso,puso,NOUN,N09,_,_,_,_,start_char=366|end_char=370
2,ka,ka,PART,PART,_,_,_,_,start_char=371|end_char=373
3,boyone,yone,NOUN,N14,_,_,_,_,start_char=374|end_char=380
4,e,e,PRON,SC09,_,_,_,_,start_char=381|end_char=382
5,tlhoka,tlhoka,VERB,V,_,_,_,_,start_char=383|end_char=389
6,go,go,PRON,SC15,_,_,_,_,start_char=390|end_char=392
7,nonofa,nonofa,VERB,V,_,_,_,_,start_char=393|end_char=399
8,le,le,PART,PART,_,_,_,_,start_char=400|end_char=402
9,go,go,PRON,SC15,_,_,_,_,start_char=403|end_char=405
10,neelana,neela,VERB,V,_,_,_,_,start_char=406|end_char=413
11,ka,ka,PART,PART,_,_,_,_,start_char=414|end_char=416
12,ditirelo,tirelo,NOUN,N10,_,_,_,_,start_char=417|end_char=425
13,tse,tse,PRON,DEM10,_,_,_,_,start_char=426|end_char=429
14,di,di,PRON,SC10,_,_,_,_,start_char=430|end_char=432
15,botoka,toka,NOUN,N14,_,_,_,_,start_char=433|SpaceAfter=No|end_char=439
16,.,.,PUNCT,ZE,_,_,_,_,start_char=439|end_char=440
1,Jaanong,jaanong,ADV,ADV,_,_,_,_,start_char=0|SpaceAfter=No|end_char=7
2,",",",",PUNCT,ZM,_,_,_,_,start_char=7|end_char=8
3,morago,morago,NOUN,N18,_,_,_,_,start_char=9|end_char=15
4,ga,ga,PART,POSSC17,_,_,_,_,start_char=16|end_char=18
5,dingwaga,ngwaga,NOUN,N10,_,_,_,_,start_char=19|end_char=27
6,di,di,PRON,SC10,_,_,_,_,start_char=28|end_char=30
7,le,le,VERB,VCOP,_,_,_,_,start_char=31|end_char=33
8,15,15,NUM,NUM,_,_,_,_,start_char=34|SpaceAfter=No|end_char=36
9,?,?,PUNCT,ZE,_,_,_,_,start_char=36|end_char=37
1,Fa,fa,CCONJ,CONJ,_,_,_,_,start_char=0|end_char=2
2,re,re,PRON,SCPERS,_,_,_,_,start_char=3|end_char=5
3,ya,ya,PART,POSSC09,_,_,_,_,start_char=6|end_char=8
4,kwa,kwa,PRON,DEMLOC,_,_,_,_,start_char=9|end_char=12
5,pele,pele,NOUN,NLOC,_,_,_,_,start_char=13|SpaceAfter=No|end_char=17
6,",",",",PUNCT,ZM,_,_,_,_,start_char=17|end_char=18
7,re,re,PRON,SCPERS,_,_,_,_,start_char=19|end_char=21
8,tlhoka,tlhoka,VERB,V,_,_,_,_,start_char=22|end_char=28
9,go,go,PRON,SC15,_,_,_,_,start_char=29|end_char=31
10,ithuta,ruta,VERB,V,_,_,_,_,start_char=32|end_char=38
11,dithuto,thuto,NOUN,N10,_,_,_,_,start_char=39|end_char=46
12,tsa,tsa,PART,POSSC10,_,_,_,_,start_char=47|end_char=50
13,bogologolo,gologolo,NOUN,N14,_,_,_,_,start_char=51|SpaceAfter=No|end_char=61
14,.,.,PUNCT,ZE,_,_,_,_,start_char=61|end_char=62
1,Tseno,tseno,PRON,DEM10,_,_,_,_,start_char=0|end_char=5
2,ke,ke,PART,PART,_,_,_,_,start_char=6|end_char=8
3,dipotso,potso,NOUN,N10,_,_,_,_,start_char=9|end_char=16
4,tse,tse,PRON,DEM10,_,_,_,_,start_char=17|end_char=20
5,puso,puso,NOUN,N09,_,_,_,_,start_char=21|end_char=25
6,e,e,PRON,SC09,_,_,_,_,start_char=26|end_char=27
7,di,di,PRON,OC10,_,_,_,_,start_char=28|end_char=30
8,botsang,botsa,VERB,V,_,_,_,_,start_char=31|end_char=38
9,fa,fa,CCONJ,CONJ,_,_,_,_,start_char=39|end_char=41
10,e,e,PRON,SC09,_,_,_,_,start_char=42|end_char=43
11,dira,dira,VERB,V,_,_,_,_,start_char=44|end_char=48
12,Tshekatsheko,tshekatsheko,NOUN,N09,_,_,_,_,start_char=49|end_char=61
13,ya,ya,PART,POSSC09,_,_,_,_,start_char=62|end_char=64
14,Dingwaga,ngwaga,NOUN,N10,_,_,_,_,start_char=65|end_char=73
15,di,di,PRON,SC10,_,_,_,_,start_char=74|end_char=76
16,le,le,VERB,VCOP,_,_,_,_,start_char=77|end_char=79
17,Sometlhano,sometlhano,NOUN,N09,_,_,_,_,start_char=80|SpaceAfter=No|end_char=90
18,.,.,PUNCT,ZE,_,_,_,_,start_char=90|end_char=91
1,Maikaelel,ikaelel,NOUN,N06,_,_,_,_,start_char=0|end_char=9
2,ke,ke,PART,PART,_,_,_,_,start_char=10|end_char=12
3,go,go,PRON,SC15,_,_,_,_,start_char=13|end_char=15
4,rotloetsa,rotloetsa,VERB,V,_,_,_,_,start_char=16|end_char=25
5,mongwe,ngwe,ADJ,ADJ01,_,_,_,_,start_char=26|end_char=32
6,le,le,PART,PART,_,_,_,_,start_char=33|end_char=35
7,ongwe,oa,ADJ,V,_,_,_,_,start_char=36|end_char=41
8,go,go,PRON,SC15,_,_,_,_,start_char=42|end_char=44
9,bua,bua,VERB,V,_,_,_,_,start_char=45|end_char=48
10,ka,ka,PART,PART,_,_,_,_,start_char=49|end_char=51
11,merero,rero,NOUN,N04,_,_,_,_,start_char=52|end_char=58
12,eno,eno,PRON,N09,_,_,_,_,start_char=59|end_char=62
13,fa,fa,CCONJ,CONJ,_,_,_,_,start_char=63|end_char=65
14,naga,naga,NOUN,N09,_,_,_,_,start_char=66|end_char=70
15,ya,ya,PART,POSSC09,_,_,_,_,start_char=71|end_char=73
16,rona,rona,PRON,PROPOSSPERS,_,_,_,_,start_char=74|end_char=78
17,e,e,PRON,SC09,_,_,_,_,start_char=79|end_char=80
18,tswelela,tswa,VERB,V,_,_,_,_,start_char=81|end_char=89
19,go,go,PRON,SC15,_,_,_,_,start_char=90|end_char=92
20,aga,aga,VERB,V,_,_,_,_,start_char=93|end_char=96
21,setšhaba,tšhaba,NOUN,N07,_,_,_,_,start_char=97|end_char=105
22,se,se,PRON,DEM07,_,_,_,_,start_char=106|end_char=108
23,se,se,PRON,SC07,_,_,_,_,start_char=109|end_char=111
24,ntšhwa,ntšhwa,ADJ,ADJ09,_,_,_,_,start_char=112|SpaceAfter=No|end_char=118
25,.,.,PUNCT,ZE,_,_,_,_,start_char=118|end_char=119
1,Ke,ke,PART,PART,_,_,_,_,start_char=0|end_char=2
2,pharologano,pharologano,NOUN,N09,_,_,_,_,start_char=3|end_char=14
3,efe,efe,ADJ,ADJ,_,_,_,_,start_char=15|end_char=18
4,eo,eo,PRON,DEM09,_,_,_,_,start_char=19|end_char=21
5,baagi,agi,NOUN,N02,_,_,_,_,start_char=22|end_char=27
6,le,le,PART,PART,_,_,_,_,start_char=28|end_char=30
7,batho,tho,NOUN,N02,_,_,_,_,start_char=31|end_char=36
8,ka,ka,PART,PART,_,_,_,_,start_char=37|end_char=39
9,nosi,nosi,ADJ,ADJ,_,_,_,_,start_char=40|end_char=44
10,ba,ba,PRON,SC02,_,_,_,_,start_char=45|end_char=47
11,e,e,PRON,OC09,_,_,_,_,start_char=48|end_char=49
12,dirileng,dira,VERB,V,_,_,_,_,start_char=50|SpaceAfter=No|end_char=58
13,?,?,PUNCT,ZE,_,_,_,_,start_char=58|end_char=59
1,Go,go,NOUN,NPRE,_,_,_,_,start_char=0|end_char=2
2,tloga,tla,VERB,V,_,_,_,_,start_char=3|end_char=8
3,ka,ka,PART,PART,_,_,_,_,start_char=9|end_char=11
4,2004,2004,NUM,NUM,_,_,_,_,start_char=12|SpaceAfter=No|end_char=16
5,",",",",PUNCT,ZM,_,_,_,_,start_char=16|end_char=17
6,tsepamo,tsepamo,NOUN,N09,_,_,_,_,start_char=18|end_char=25
7,e,e,PRON,SC09,_,_,_,_,start_char=26|end_char=27
8,nnile,nna,VERB,VCOP,_,_,_,_,start_char=28|end_char=33
9,mo,mo,PRON,DEMLOC,_,_,_,_,start_char=34|end_char=36
10,go,go,PRON,SC15,_,_,_,_,start_char=37|end_char=39
11,tiiseng,tia,VERB,V,_,_,_,_,start_char=40|end_char=47
12,temokerasi,temokerasi,NOUN,N09,_,_,_,_,start_char=48|end_char=58
13,le,le,PART,PART,_,_,_,_,start_char=59|end_char=61
14,go,go,PRON,SC15,_,_,_,_,start_char=62|end_char=64
15,tokafatsa,tokafala,VERB,V,_,_,_,_,start_char=65|end_char=74
16,tiragatso,tiragatso,NOUN,N09,_,_,_,_,start_char=75|end_char=84
17,ya,ya,PART,POSSC09,_,_,_,_,start_char=85|end_char=87
18,puso,puso,NOUN,N09,_,_,_,_,start_char=88|SpaceAfter=No|end_char=92
19,.,.,PUNCT,ZE,_,_,_,_,start_char=92|end_char=93
1,boeteledipele,eteledipele,NOUN,N14,_,_,_,_,start_char=0|end_char=13
2,jwa,jwa,PART,POSSC14,_,_,_,_,start_char=14|end_char=17
3,setso,tso,NOUN,N07,_,_,_,_,start_char=18|end_char=23
4,seabe,abe,NOUN,N07,_,_,_,_,start_char=24|end_char=29
5,mo,mo,PRON,DEMLOC,_,_,_,_,start_char=30|end_char=32
6,thulaganyong,thulaganyo,NOUN,N09,_,_,_,_,start_char=33|end_char=45
7,ya,ya,PART,POSSC09,_,_,_,_,start_char=46|end_char=48
8,rona,rona,PRON,PROPOSSPERS,_,_,_,_,start_char=49|end_char=53
9,ya,ya,PART,POSSC09,_,_,_,_,start_char=54|end_char=56
10,temokerasi,temokerasi,NOUN,N09,_,_,_,_,start_char=57|SpaceAfter=No|end_char=67
11,.,.,PUNCT,ZE,_,_,_,_,start_char=67|end_char=68
1,Batho,tho,NOUN,N02,_,_,_,_,start_char=0|end_char=5
2,Pele,pele,NOUN,NLOC,_,_,_,_,start_char=6|end_char=10
3,"""","""",NOUN,NUM,_,_,_,_,start_char=11|SpaceAfter=No|end_char=12
4,Batho,tho,NOUN,N02,_,_,_,_,start_char=12|end_char=17
5,Pele,pele,NOUN,NLOC,_,_,_,_,start_char=18|SpaceAfter=No|end_char=22
6,"""","""",NOUN,NUM,_,_,_,_,start_char=22|end_char=23
7,e,e,PRON,SC09,_,_,_,_,start_char=24|end_char=25
8,le,le,VERB,VCOP,_,_,_,_,start_char=26|end_char=28
9,molawana,lawana,NOUN,N03,_,_,_,_,start_char=29|end_char=37
10,kaelo,kaya,NOUN,N09,_,_,_,_,start_char=38|end_char=43
11,mo,mo,PRON,DEMLOC,_,_,_,_,start_char=44|end_char=46
12,Bodireding,bodiredi,NOUN,N14,_,_,_,_,start_char=47|end_char=57
13,Pusong,puso,NOUN,N09,_,_,_,_,start_char=58|SpaceAfter=No|end_char=64
14,.,.,PUNCT,ZE,_,_,_,_,start_char=64|end_char=65
